序号,名称,点位汇总,实景图汇总,点位数,已关联数
171,f4_sw_to_4407_1.png,"f4_sw_to_4407_1.png/热点 1(x=0.1603, y=0.7318)；f4_sw_to_4407_1.png/热点 2(x=0.2916, y=0.7308)；f4_sw_to_4407_1.png/热点 3(x=0.4201, y=0.7318)；f4_sw_to_4407_1.png/热点 4(x=0.5390, y=0.6839)；f4_sw_to_4407_1.png/热点 5(x=0.5811, y=0.6497)",f4_31.jpg；f4_30.jpg；f4_28.jpg；f4_17.jpg；f4_19.jpg,5,5
172,f4_sw_to_4407_2.png,"f4_sw_to_4407_2.png/热点 1(x=0.1603, y=0.7308)；f4_sw_to_4407_2.png/热点 2(x=0.2909, y=0.7318)；f4_sw_to_4407_2.png/热点 3(x=0.4194, y=0.7308)；f4_sw_to_4407_2.png/热点 4(x=0.5390, y=0.6849)；f4_sw_to_4407_2.png/热点 5(x=0.5811, y=0.6478)；f4_sw_to_4407_2.png/热点 6(x=0.7200, y=0.6487)",f4_31.jpg；f4_30.jpg；f4_28.jpg；f4_17.jpg；f4_19.jpg；f4_21.jpg,6,6
173,f4_sw_to_4408_1.png,"f4_sw_to_4408_1.png/热点 1(x=0.1610, y=0.7318)；f4_sw_to_4408_1.png/热点 2(x=0.2895, y=0.7337)；f4_sw_to_4408_1.png/热点 3(x=0.4194, y=0.7318)；f4_sw_to_4408_1.png/热点 4(x=0.5410, y=0.6898)；f4_sw_to_4408_1.png/热点 5(x=0.5770, y=0.6478)；f4_sw_to_4408_1.png/热点 6(x=0.7193, y=0.6478)",f4_31.jpg；f4_30.jpg；f4_28.jpg；f4_17.jpg；f4_19.jpg；f4_21.jpg,6,6
174,f4_sw_to_4408_2.png,"f4_sw_to_4408_2.png/热点 1(x=0.1589, y=0.7308)；f4_sw_to_4408_2.png/热点 2(x=0.2916, y=0.7328)；f4_sw_to_4408_2.png/热点 3(x=0.4201, y=0.7298)；f4_sw_to_4408_2.png/热点 4(x=0.5397, y=0.6829)；f4_sw_to_4408_2.png/热点 5(x=0.5770, y=0.6487)；f4_sw_to_4408_2.png/热点 6(x=0.7186, y=0.6487)",f4_31.jpg；f4_30.jpg；f4_28.jpg；f4_17.jpg；f4_19.jpg；f4_21.jpg,6,6
175,f4_sw_to_4409.png,"f4_sw_to_4409.png/热点 1(x=0.1603, y=0.7308)；f4_sw_to_4409.png/热点 2(x=0.2875, y=0.7319)；f4_sw_to_4409.png/热点 3(x=0.4216, y=0.7309)；f4_sw_to_4409.png/热点 4(x=0.5398, y=0.6840)；f4_sw_to_4409.png/热点 5(x=0.5785, y=0.6469)；f4_sw_to_4409.png/热点 6(x=0.7202, y=0.6489)；f4_sw_to_4409.png/热点 7(x=0.8661, y=0.6460)",f4_31.jpg；f4_30.jpg；f4_28.jpg；f4_17.jpg；f4_19.jpg；f4_21.jpg；f4_23.jpg,7,7
176,f4_sw_to_4410.png,"f4_sw_to_4410.png/热点 1(x=0.1597, y=0.7311)；f4_sw_to_4410.png/热点 2(x=0.2938, y=0.7321)；f4_sw_to_4410.png/热点 3(x=0.4196, y=0.7312)；f4_sw_to_4410.png/热点 4(x=0.5393, y=0.6862)；f4_sw_to_4410.png/热点 5(x=0.5718, y=0.6471)；f4_sw_to_4410.png/热点 6(x=0.7108, y=0.6481)；f4_sw_to_4410.png/热点 7(x=0.8650, y=0.6482)",f4_31.jpg；f4_30.jpg；f4_28.jpg；f4_17.jpg；f4_19.jpg；f4_21.jpg；f4_23.jpg,7,7
177,f4_sw_to_4411.png,"f4_sw_to_4411.png/热点 1(x=0.1591, y=0.7304)；f4_sw_to_4411.png/热点 2(x=0.2911, y=0.7314)；f4_sw_to_4411.png/热点 3(x=0.4205, y=0.7304)；f4_sw_to_4411.png/热点 4(x=0.5408, y=0.6845)；f4_sw_to_4411.png/热点 5(x=0.5768, y=0.6474)；f4_sw_to_4411.png/热点 6(x=0.7179, y=0.6484)；f4_sw_to_4411.png/热点 7(x=0.8653, y=0.6484)；f4_sw_to_4411.png/热点 8(x=0.8653, y=0.4773)",f4_31.jpg；f4_30.jpg；f4_28.jpg；f4_17.jpg；f4_19.jpg；f4_21.jpg；f4_23.jpg；f4_25.jpg,8,8
178,f4_sw_to_4412.png,"f4_sw_to_4412.png/热点 1(x=0.1598, y=0.7297)；f4_sw_to_4412.png/热点 2(x=0.2885, y=0.7336)；f4_sw_to_4412.png/热点 3(x=0.4206, y=0.7307)；f4_sw_to_4412.png/热点 4(x=0.5403, y=0.6838)；f4_sw_to_4412.png/热点 5(x=0.5390, y=0.4872)；f4_sw_to_4412.png/热点 6(x=0.5397, y=0.3502)；f4_sw_to_4412.png/热点 7(x=0.5688, y=0.2622)；f4_sw_to_4412.png/热点 8(x=0.6913, y=0.2651)",f4_31.jpg；f4_30.jpg；f4_28.jpg；f4_17.jpg；f4_16.jpg；f4_11.jpg；f4_4.jpg；f4_7.jpg,8,8
179,f4_sw_to_4413.png,"f4_sw_to_4413.png/热点 1(x=0.1592, y=0.7319)；f4_sw_to_4413.png/热点 2(x=0.2900, y=0.7300)；f4_sw_to_4413.png/热点 3(x=0.4201, y=0.7300)；f4_sw_to_4413.png/热点 4(x=0.5399, y=0.6821)；f4_sw_to_4413.png/热点 5(x=0.5392, y=0.4874)；f4_sw_to_4413.png/热点 6(x=0.5399, y=0.3533)；f4_sw_to_4413.png/热点 7(x=0.5704, y=0.2633)",f4_31.jpg；f4_30.jpg；f4_28.jpg；f4_17.jpg；f4_16.jpg；f4_11.jpg；f4_4.jpg,7,7
180,f4_sw_to_4414.png,"f4_sw_to_4414.png/热点 1(x=0.1592, y=0.7302)；f4_sw_to_4414.png/热点 2(x=0.2901, y=0.7303)；f4_sw_to_4414.png/热点 3(x=0.4189, y=0.7303)；f4_sw_to_4414.png/热点 4(x=0.5394, y=0.6814)；f4_sw_to_4414.png/热点 5(x=0.5394, y=0.4650)；f4_sw_to_4414.png/热点 6(x=0.5394, y=0.3534)；f4_sw_to_4414.png/热点 7(x=0.5692, y=0.2614)",f4_31.jpg；f4_30.jpg；f4_28.jpg；f4_17.jpg；f4_16.jpg；f4_11.jpg；f4_4.jpg,7,7
181,f4_sw_to_4415.png,"f4_sw_to_4415.png/热点 1(x=0.1600, y=0.7295)；f4_sw_to_4415.png/热点 2(x=0.2909, y=0.7315)；f4_sw_to_4415.png/热点 3(x=0.4197, y=0.7305)；f4_sw_to_4415.png/热点 4(x=0.5402, y=0.6806)；f4_sw_to_4415.png/热点 5(x=0.5389, y=0.4955)；f4_sw_to_4415.png/热点 6(x=0.5396, y=0.3526)；f4_sw_to_4415.png/热点 7(x=0.5694, y=0.2654)",f4_31.jpg；f4_30.jpg；f4_28.jpg；f4_17.jpg；f4_16.jpg；f4_11.jpg；f4_5.jpg,7,7
182,f4_sw_to_4416.png,"f4_sw_to_4416.png/热点 1(x=0.1587, y=0.7327)；f4_sw_to_4416.png/热点 2(x=0.2889, y=0.7318)；f4_sw_to_4416.png/热点 3(x=0.4206, y=0.7318)；f4_sw_to_4416.png/热点 4(x=0.5390, y=0.6828)；f4_sw_to_4416.png/热点 5(x=0.5398, y=0.4938)；f4_sw_to_4416.png/热点 6(x=0.5405, y=0.3547)；f4_sw_to_4416.png/热点 7(x=0.5696, y=0.2665)；f4_sw_to_4416.png/热点 8(x=0.3936, y=0.2645)",f4_31.jpg；f4_30.jpg；f4_28.jpg；f4_17.jpg；f4_16.jpg；f4_11.jpg；f4_5.jpg；f4_3.jpg,8,8
183,f4_sw_to_4417.png,"f4_sw_to_4417.png/热点 1(x=0.1594, y=0.7320)；f4_sw_to_4417.png/热点 2(x=0.2925, y=0.7311)；f4_sw_to_4417.png/热点 3(x=0.4214, y=0.7291)；f4_sw_to_4417.png/热点 4(x=0.5399, y=0.6870)；f4_sw_to_4417.png/热点 5(x=0.5400, y=0.4851)；f4_sw_to_4417.png/热点 6(x=0.5400, y=0.3538)；f4_sw_to_4417.png/热点 7(x=0.5705, y=0.2656)；f4_sw_to_4417.png/热点 8(x=0.3847, y=0.2646)",f4_31.jpg；f4_30.jpg；f4_28.jpg；f4_17.jpg；f4_16.jpg；f4_11.jpg；f4_5.jpg；f4_3.jpg,8,8
184,f4_sw_to_f4_n.png,"f4_sw_to_f4_n.png/热点 1(x=0.1602, y=0.7303)；f4_sw_to_f4_n.png/热点 2(x=0.2905, y=0.7313)；f4_sw_to_f4_n.png/热点 3(x=0.4195, y=0.7304)；f4_sw_to_f4_n.png/热点 4(x=0.5402, y=0.6824)；f4_sw_to_f4_n.png/热点 5(x=0.5395, y=0.4834)；f4_sw_to_f4_n.png/热点 6(x=0.5409, y=0.3539)",f4_31.jpg；f4_30.jpg；f4_28.jpg；f4_17.jpg；f4_16.jpg；f4_11.jpg,6,6
185,f4_sw_to_f4_ne.png,"f4_sw_to_f4_ne.png/热点 1(x=0.1609, y=0.7315)；f4_sw_to_f4_ne.png/热点 2(x=0.2899, y=0.7316)；f4_sw_to_f4_ne.png/热点 3(x=0.4203, y=0.7326)；f4_sw_to_f4_ne.png/热点 4(x=0.5410, y=0.6884)；f4_sw_to_f4_ne.png/热点 5(x=0.5396, y=0.4884)；f4_sw_to_f4_ne.png/热点 6(x=0.5403, y=0.3550)；f4_sw_to_f4_ne.png/热点 7(x=0.5709, y=0.2648)；f4_sw_to_f4_ne.png/热点 8(x=0.6888, y=0.2658)；f4_sw_to_f4_ne.png/热点 9(x=0.8449, y=0.2658)",f4_31.jpg；f4_30.jpg；f4_28.jpg；f4_17.jpg；f4_16.jpg；f4_11.jpg；f4_4.jpg；f4_7.jpg；f4_9.jpg,9,9
186,f4_sw_to_f4_nw.png,"f4_sw_to_f4_nw.png/热点 1(x=0.1603, y=0.7299)；f4_sw_to_f4_nw.png/热点 2(x=0.2893, y=0.7309)；f4_sw_to_f4_nw.png/热点 3(x=0.4191, y=0.7309)；f4_sw_to_f4_nw.png/热点 4(x=0.5392, y=0.6838)；f4_sw_to_f4_nw.png/热点 5(x=0.5385, y=0.4660)；f4_sw_to_f4_nw.png/热点 6(x=0.5413, y=0.3532)；f4_sw_to_f4_nw.png/热点 7(x=0.5690, y=0.2639)；f4_sw_to_f4_nw.png/热点 8(x=0.3775, y=0.2640)",f4_31.jpg；f4_30.jpg；f4_28.jpg；f4_17.jpg；f4_16.jpg；f4_11.jpg；f4_5.jpg；f4_3.jpg,8,8
187,f4_sw_to_f4_s_e.png,"f4_sw_to_f4_s_e.png/热点 1(x=0.1603, y=0.7311)；f4_sw_to_f4_s_e.png/热点 2(x=0.2915, y=0.7302)；f4_sw_to_f4_s_e.png/热点 3(x=0.4193, y=0.7292)；f4_sw_to_f4_s_e.png/热点 4(x=0.5401, y=0.6831)；f4_sw_to_f4_s_e.png/热点 5(x=0.5720, y=0.6478)",f4_31.jpg；f4_30.jpg；f4_28.jpg；f4_17.jpg；f4_19.jpg,5,5
188,f4_sw_to_f4_s_w.png,"f4_sw_to_f4_s_w.png/热点 1(x=0.1597, y=0.7323)；f4_sw_to_f4_s_w.png/热点 2(x=0.2916, y=0.7323)",f4_31.jpg；f4_30.jpg,2,2
189,f4_sw_to_f4_se.png,"f4_sw_to_f4_se.png/热点 1(x=0.1597, y=0.7314)；f4_sw_to_f4_se.png/热点 2(x=0.2909, y=0.7334)；f4_sw_to_f4_se.png/热点 3(x=0.4208, y=0.7305)；f4_sw_to_f4_se.png/热点 4(x=0.5403, y=0.6893)；f4_sw_to_f4_se.png/热点 5(x=0.5778, y=0.6490)；f4_sw_to_f4_se.png/热点 6(x=0.7181, y=0.6490)；f4_sw_to_f4_se.png/热点 7(x=0.8646, y=0.6491)",f4_31.jpg；f4_30.jpg；f4_28.jpg；f4_17.jpg；f4_19.jpg；f4_21.jpg；f4_24.jpg,7,7
